"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","9.74","600032251.96","61604954","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"JOBS","51job, Inc.","72.51","2641986759.21","36436171","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"AGMH","AGM Group Holdings Inc.","21.99","468740049.45","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",
"AMCN","AirMedia Group Inc","0.41","18522877.09","45177749","2007","Technology","Advertising","https://www.nasdaq.com/symbol/amcn",
"APWC","Asia Pacific Wire & Cable Corporation Limited","2.5826","35690677.1594","n/a","n/a","Basic Industries","Telecommunications Equipment","https://www.nasdaq.com/symbol/apwc",
"ASLN","ASLAN Pharmaceuticals Limited","7.9","47400000","6000000","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/asln",
"ATAI","ATA Inc.","1.72","18166920.36","10562163","2008","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/atai",
"JG","Aurora Mobile Limited","7.83","70939800","9060000","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/jg",
"BIDU","Baidu, Inc.","216.04","60650296176.8","280736420","2005","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/bidu",
"BZUN","Baozun Inc.","49.27","2134631470.79","43325177","2015","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/bzun",
"BILI","Bilibili Inc.","11.71","491820000","42000000","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/bili",
"BSPM","Biostar Pharmaceuticals, Inc.","1.96","5168888.48","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bspm",
"BCAC","Bison Capital Acquisition Corp.","10.1999","24810318.3592","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bcac",
"BCACR","Bison Capital Acquisition Corp.","0.49","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bcacr",
"BCACU","Bison Capital Acquisition Corp.","10.6784","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bcacu",
"BCACW","Bison Capital Acquisition Corp.","0.4","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/bcacw",
"BNSO","Bonso Electronics International, Inc.","3.2565","15345604.95","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bnso",
"BRQS","Borqs Technologies, Inc. ","4.5","140865075","n/a","2015","Technology","EDP Services","https://www.nasdaq.com/symbol/brqs",
"CSIQ","Canadian Solar Inc.","14.65","858222857.25","n/a","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/csiq",
"CBAK","CBAK Energy Technology, Inc.","0.5901","15724676.7678","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cbak",
"CYOU","Changyou.com Limited","13.55","260365363.8","19215156","2009","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cyou",
"CADC","China Advanced Construction Materials Group, Inc.","4","19081252","n/a","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/cadc",
"CAAS","China Automotive Systems, Inc.","3.91","123728055.64","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/caas",
"CBPO","China Biologic Products Holdings, Inc.","82.34","2755532060.94","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","1.4001","6470972.3793","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cccl",
"GLG","China Commercial Credit, Inc.","0.7601","18695124.6812","n/a","2013","Finance","Major Banks","https://www.nasdaq.com/symbol/glg",
"CCRC","China Customer Relations Centers, Inc.","9.88","181096448","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"JRJC","China Finance Online Co. Limited","1.81","38407477.81","21219601","2004","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jrjc",
"HGSH","China HGS Real Estate, Inc.","1.2954","58357770","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/hgsh",
"CIFS","China Internet Nationwide Financial Services Inc.","9.2875","205385521.05","n/a","2017","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/cifs",
"CJJD","China Jo-Jo Drugstores, Inc.","1.545","44707322.01","n/a","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cjjd",
"CLDC","China Lending Corporation","0.9495","22557904.8165","n/a","2014","Finance","Diversified Financial Services","https://www.nasdaq.com/symbol/cldc",
"CHNR","China Natural Resources, Inc.","1.9146","47694439.7736","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/chnr",
"CREG","China Recycling Energy Corporation","1.2","9972237.6","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/creg",
"CNTF","China TechFaith Wireless Communication Technology Limited","2.23","16187541.01","7258987","2005","n/a","n/a","https://www.nasdaq.com/symbol/cntf",
"CXDC","China XD Plastics Company Limited","3.375","169721092.125","n/a","n/a","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/cxdc",
"CCIH","ChinaCache International Holdings Ltd.","1.1","26577628","24161480","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","1.85","29845204.55","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","13.44","94302015.36","7016519","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/imos",
"CLPS","CLPS Incorporation","14.01","186192900","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/clps",
"CMSS","CM Seven Star Acquisition Corporation","9.99","59862847.23","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cmss",
"CMSSR","CM Seven Star Acquisition Corporation","0.55","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cmssr",
"CMSSU","CM Seven Star Acquisition Corporation","10.85","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cmssu",
"CMSSW","CM Seven Star Acquisition Corporation","0.5","0","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cmssw",
"CTRP","Ctrip.com International, Ltd.","37.56","17498907726.72","465892112","2003","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ctrp",
"DELT","Delta Technology Holdings Limited","0.8196","10376393.3544","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/delt",
"DOGZ","Dogness (International) Corporation","2.85","73853848.35","n/a","2017","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/dogz",
"LYL","Dragon Victory International Limited","1.942","22180347.148","n/a","2017","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/lyl",
"CLWT","Euro Tech Holdings Company Limited","3.9798","8205985.4382","n/a","1997","Consumer Durables","Diversified Electronic Products","https://www.nasdaq.com/symbol/clwt",
"EVK","Ever-Glory International Group, Inc.","3.45","51046172.4","n/a","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/evk",
"FANH","Fanhua Inc.","24.88","876996637.68","35249061","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/fanh",
"FAMI","FARMMI, INC.","4.52","52793600","n/a","2018","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/fami",
"FLEX","Flex Ltd.","13.13","6995165611.46","n/a","1994","Technology","Electrical Products","https://www.nasdaq.com/symbol/flex",
"FTEO","FRONTEO, Inc.","19.02","1042105.8","54790","2013","n/a","n/a","https://www.nasdaq.com/symbol/fteo",
"FORK","Fuling Global Inc.","3","47340615","n/a","2015","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/fork",
"FTFT","Future FinTech Group Inc.","1.3149","34209862.4367","n/a","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/ftft",
"FFHL","Fuwei Films (Holdings) Co., Ltd.","2.06","6727624.22","n/a","2006","Capital Goods","Specialty Chemicals","https://www.nasdaq.com/symbol/ffhl",
"GDS","GDS Holdings Limited","34.64","1644685688.56","47479379","2016","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/gds",
"GIGM","GigaMedia Limited","2.91","32162003.85","n/a","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/gigm",
"DNJR","GOLDEN BULL LIMITED","7.6","112347000","n/a","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/dnjr",
