"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BNTC","Benitec Biopharma Limited","2.55","5995600.8","2351216","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bntc",
"BNTCW","Benitec Biopharma Limited","0.3","0","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bntcw",
"GENE","Genetic Technologies Ltd","1.07","11455570.87","10706141","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gene",
"HUNT","Hunter Maritime Acquisition Corp.","9.85","186818793.75","n/a","2017","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/hunt",
"HUNTU","Hunter Maritime Acquisition Corp.","10.109","0","n/a","2016","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/huntu",
"HUNTW","Hunter Maritime Acquisition Corp.","0.4","0","n/a","2017","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/huntw",
"IMRN","Immuron Limited","9.4188","3257755.7064","345878","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/imrn",
"IMRNW","Immuron Limited","4.0001","0","n/a","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/imrnw",
"IMMP","Immutep Limited","3.02","22286376.9","7379595","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/immp",
"IMTE","Integrated Media Technology Limited","11.2501","29740888.1111","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/imte",
"KZIA","Kazia Therapeutics Limited","3.147","5485139.178","1742974","n/a","Capital Goods","Miscellaneous","https://www.nasdaq.com/symbol/kzia",
"MESO","Mesoblast Limited","5.98","40990370.46","6854577","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/meso",
"NAKD","Naked Brand Group Limited","3.34","76680982.52","n/a","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/nakd",
"PLLL","Piedmont Lithium Limited","11.35","6064305","534300","n/a","n/a","n/a","https://www.nasdaq.com/symbol/plll",
"PRAN","Prana Biotechnology Ltd","2.011","12906356.68","6417880","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/pran",
