"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AOSL","Alpha and Omega Semiconductor Limited","13.55","323341576.85","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",
"ACGL","Arch Capital Group Ltd.","30.28","12272468557.2","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acgl",
"ACGLO","Arch Capital Group Ltd.","24.08","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglo",
"ACGLP","Arch Capital Group Ltd.","23.55","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglp",
"BGNE","BeiGene, Ltd.","163.51","6062040866.85","37074435","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bgne",
"BPY","Brookfield Property Partners L.P.","19.62","7297436646.54","n/a","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/bpy",
"CETV","Central European Media Enterprises Ltd.","3.6","907635625.2","n/a","1994","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/cetv",
"CWCO","Consolidated Water Co. Ltd.","14.25","213236330.25","n/a","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/cwco",
"ESGR","Enstar Group Limited","211.05","4528493729.55","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esgr",
"ESGRP","Enstar Group Limited","26","0","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esgrp",
"GLNG","Golar LNG Limited","25.2","2547720000","n/a","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/glng",
"GMLP","Golar LNG Partners LP","12.79","893387357.82","n/a","2011","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/gmlp",
"GMLPP","Golar LNG Partners LP","25.3","0","n/a","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/gmlpp",
"GOGL","Golden Ocean Group Limited","8.82","1272264687.54","n/a","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/gogl",
"GLRE","Greenlight Reinsurance, Ltd.","12.1","452724633.9","n/a","2007","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/glre",
"HELE","Helen of Troy Limited","126.6","3335022027.6","n/a","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/hele",
"INFO","IHS Markit Ltd.","54.66","21427620796.8","n/a","1996","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/info",
"JRVR","James River Group Holdings, Ltd.","41.58","1244411936.46","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/jrvr",
"MHLD","Maiden Holdings, Ltd.","2.575","214093835.275","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhld",
"MRVL","Marvell Technology Group Ltd.","19.45","12745172271","n/a","2000","Technology","Semiconductors","https://www.nasdaq.com/symbol/mrvl",
"OIIM","O2Micro International Limited","2.05","68415658.6","33373492","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/oiim",
"ORIG","Ocean Rig UDW Inc.","29.63","2713159306.66","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/orig",
"OFIX","Orthofix Medical Inc. ","53.34","1008710019.66","n/a","1992","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/ofix",
"OXBR","Oxbridge Re Holdings Limited","1.818","10423661.166","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/oxbr",
"OXBRW","Oxbridge Re Holdings Limited","0.096","0","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/oxbrw",
"SPNS","Sapiens International Corporation N.V.","11.9","592370754.5","n/a","1992","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/spns",
"TBPH","Theravance Biopharma, Inc.","28.86","1590305105.22","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/tbph",
