"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ABIL","Ability Inc.","3.41","11268948.57","n/a","2014","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ALLT","Allot Communications Ltd.","6.23","210040275.9","n/a","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",
"ARCT","Arcturus Therapeutics Ltd.","8.1","83627923.5","n/a","2013","n/a","n/a","https://www.nasdaq.com/symbol/arct",
"ATTU","Attunity Ltd.","18.63","392919647.85","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/attu",
"AUDC","AudioCodes Ltd.","10.85","312660956.3","n/a","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/audc",
"BCOM","B Communications Ltd.","9.6245","287667113.6025","n/a","n/a","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/bcom",
"BOSC","B.O.S. Better Online Solutions","2.49","8358155.61","n/a","n/a","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/bosc",
"ORPN","Bioblast Pharma Ltd.","1.27","4244839.11","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/orpn",
"BLRX","BioLineRx Ltd.","0.908","75750056.176","83425172","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/blrx",
"BVXV","BiondVax Pharmaceuticals Ltd.","5.6623","32137872.8349","5675763","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/bvxv",
"BVXVW","BiondVax Pharmaceuticals Ltd.","1.15","0","n/a","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/bvxvw",
"CSTE","Caesarstone Ltd.","19.2","659494272","n/a","2012","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cste",
"CAMT","Camtek Ltd.","8.83","319612331.21","n/a","2000","Capital Goods","Electronic Components","https://www.nasdaq.com/symbol/camt",
"APOP","Cellect Biotechnology Ltd.","5.05","32668409.6","6468992","2016","n/a","n/a","https://www.nasdaq.com/symbol/apop",
"APOPW","Cellect Biotechnology Ltd.","2.05","0","n/a","2016","n/a","n/a","https://www.nasdaq.com/symbol/apopw",
"CRNT","Ceragon Networks Ltd.","3","234392934","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/crnt",
"CHKP","Check Point Software Technologies Ltd.","115.42","18355783688.96","n/a","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/chkp",
"CHEK","Check-Cap Ltd.","3.98","21076416.36","n/a","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chek",
"CHEKW","Check-Cap Ltd.","0.1","0","n/a","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekw",
"CHEKZ","Check-Cap Ltd.","0.7","0","n/a","n/a","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekz",
"CLGN","CollPlant Holdings, Ltd.","5.18","772032.38","149041","n/a","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/clgn",
"CGEN","Compugen Ltd.","3.875","221638487.375","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cgen",
"CYBR","CyberArk Software Ltd.","75.92","2701113874.16","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cybr",
"DRIO","DarioHealth Corp.","0.99","21128175.09","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.1116","0","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/driow",
