"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ATV","Acorn International, Inc.","22.005","58976480.7","n/a","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/atv",
"BABA","Alibaba Group Holding Limited","164.23","422388038115.89","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ACH","Aluminum Corporation of China Limited","9.99","5955557770.71","n/a","2001","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/ach",
"AUO","AU Optronics Corp","4.28","4119176907.08","n/a","2002","Technology","Semiconductors","https://www.nasdaq.com/symbol/auo",
"AZRE","Azure Power Global Limited","15.25","396453213","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/azre",
"BITA","Bitauto Holdings Limited","21.38","1555180473.08","n/a","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/bita",
"BEDU","Bright Scholar Education Holdings Limited","11.58","1357755000","n/a","2017","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/bedu",
"CAJ","Canon, Inc.","31.09","33569523132.84","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/caj",
"DL","China Distance Education Holdings Limited","9.1","303201808","n/a","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/dl",
"CEA","China Eastern Airlines Corporation Ltd.","31.89","9227426127.57","n/a","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/cea",
"CGA","China Green Agriculture, Inc.","0.9879","38426291.9655","n/a","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/cga",
"LFC","China Life Insurance Company Limited","11.04","62408468640","n/a","2003","Finance","Life Insurance","https://www.nasdaq.com/symbol/lfc",
"CHL","China Mobile (Hong Kong) Ltd.","47.77","195622763578.83","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/chl",
"BORN","China New Borun Corporation","1.11","28554750","n/a","2010","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/born",
"COE","China Online Education Group","8.67","174968836.5","n/a","2016","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/coe",
"SNP","China Petroleum & Chemical Corporation","94.46","114363864588.16","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/snp",
"ZNH","China Southern Airlines Company Limited","31.69","6393884205.85","n/a","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/znh",
"CHA","China Telecom Corp Ltd","48.59","39325037756.97","n/a","2002","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cha",
"CHU","China Unicom (Hong Kong) Ltd","11.89","36381169840.26","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/chu",
"CYD","China Yuchai International Limited","18.92","773038865.72","n/a","1994","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cyd",
"CHT","Chunghwa Telecom Co., Ltd.","34.84","27026945348","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cht",
"CEO","CNOOC Limited","167.35","1758733195.85","n/a","2001","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ceo",
"CCM","Concord Medical Services Holdings Limited","2.89","125321936.88","n/a","2009","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/ccm",
"DQ","DAQO New Energy Corp.","33.09","425663505.99","n/a","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/dq",
"RDY","Dr. Reddy&#39;s Laboratories Ltd","35.87","5955498969.6","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rdy",
"EHIC","eHi Car Services Limited","12.27","852091904.61","n/a","2014","Consumer Services","Rental/Leasing Companies","https://www.nasdaq.com/symbol/ehic",
"SFUN","Fang Holdings Limited","2.76","1228007890.2","n/a","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/sfun",
"CO","Global Cord Blood Corporation","6.8","821608245.6","n/a","n/a","Finance","Business Services","https://www.nasdaq.com/symbol/co",
