"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ARGD","Argo Group International Holdings, Ltd.","25.166","0","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argd",
"ARGO","Argo Group International Holdings, Ltd.","63.5","2158139003.5","n/a","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argo",
"AHL","Aspen Insurance Holdings Limited","41.4","2471273391.6","n/a","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ahl",
"AHL^C","Aspen Insurance Holdings Limited","25.76","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ahl^c",
"AHL^D","Aspen Insurance Holdings Limited","24.85","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ahl^d",
"AGO","Assured Guaranty Ltd.","41.11","4455791954.38","n/a","2004","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ago",
"AGO^B","Assured Guaranty Ltd.","25.786","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ago^b",
"AGO^E","Assured Guaranty Ltd.","25.46","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ago^e",
"AGO^F","Assured Guaranty Ltd.","24.93","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ago^f",
"AXS","Axis Capital Holdings Limited","57.13","4773662141.44","n/a","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/axs",
"AXS^D","Axis Capital Holdings Limited","24.64","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/axs^d",
"AXS^E","Axis Capital Holdings Limited","24.78","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/axs^e",
"NTB","Bank of N.T. Butterfield & Son Limited (The)","52.31","2886062751.45","n/a","2016","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ntb",
"BEL","Belmond Ltd.","16.9","1740003094.7","n/a","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/bel",
"BSTI","BEST Inc.","6.82","2640022000","n/a","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/bsti",
"BIP","Brookfield Infrastructure Partners LP","38.62","10685222138.02","n/a","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/bip",
"CIC","Capitol Investment Corp. IV","9.87","117674107.74","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cic",
"CIC.U","Capitol Investment Corp. IV","n/a","0","n/a","2017","n/a","n/a","https://www.nasdaq.com/symbol/cic.u",
"CIC.WS","Capitol Investment Corp. IV","n/a","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cic.ws",
"RE","Everest Re Group, Ltd.","221.1","9033138226.2","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/re",
"EVTC","Evertec, Inc.","23.95","1741575455.1","n/a","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/evtc",
"FN","Fabrinet","46.73","1703502242.58","n/a","2010","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/fn",
"FBP","First BanCorp.","8.74","1898187958.98","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbp",
"FDP","Fresh Del Monte Produce, Inc.","37.44","1826297254.08","n/a","1997","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/fdp",
"FRO","Frontline Ltd.","5.22","886404671.28","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/fro",
"G","Genpact Limited","30.38","5770656574.48","n/a","2007","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/g",
"GPRK","Geopark Ltd","19.04","1154120243.36","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/gprk",
"HLF","Herbalife Nutrition Ltd.","56.24","8839345462.64","n/a","2004","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/hlf",
"HMLP","Hoegh LNG Partners LP","18.6","615833296.2","n/a","2014","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/hmlp",
"HMLP^A","Hoegh LNG Partners LP","25.81","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hmlp^a",
"KOS","Kosmos Energy Ltd.","8.69","3462124755.21","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/kos",
"LAZ","Lazard Ltd.","46.95","5620938322.2","n/a","2005","Finance","Investment Managers","https://www.nasdaq.com/symbol/laz",
"LXFT","Luxoft Holding, Inc.","46.6","1563006406","n/a","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/lxft",
"MH^A","Maiden Holdings, Ltd.","21.16","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mh^a",
"MH^C","Maiden Holdings, Ltd.","20","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mh^c",
"MH^D","Maiden Holdings, Ltd.","17.55","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mh^d",
"MHLA","Maiden Holdings, Ltd.","18.01","0","n/a","2016","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhla",
"MHNC","Maiden Holdings, Ltd.","21.42","0","n/a","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhnc",
"NBR","Nabors Industries Ltd.","6.05","2162663395.2","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/nbr",
"NBR^A","Nabors Industries Ltd.","42.94","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nbr^a",
