"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ARCO","Arcos Dorados Holdings Inc.","6.65","1389275719.3","n/a","2011","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/arco",
"AZUL","Azul S.A.","16.56","1868405283.36","n/a","2017","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/azul",
"BBD","Banco Bradesco Sa","6.85","45851029658.2","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","5.88","39358256115.36","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbdo",
"BSBR","Banco Santander Brasil SA","8.29","61981851290","n/a","2009","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsbr",
"BFR","BBVA Banco Frances S.A.","9.61","1962553037.19","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bfr",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","3.5","188307588","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/lnd",
"BAK","Braskem S.A.","29.9","11896217768.5","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/bak",
"BRFS","BRF S.A.","5.29","4291986722.05","n/a","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/brfs",
"CIG","Comp En De Mn Cemig ADS","1.73","2523641999.73","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cig",
"CIG.C","Comp En De Mn Cemig ADS","n/a","0","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cig.c",
"CBD","Companhia Brasileira de Distribuicao","18.9","5039302067.1","n/a","1997","Consumer Services","Food Chains","https://www.nasdaq.com/symbol/cbd",
"SBS","Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp","6","4101059214","n/a","2002","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/sbs",
"ELP","Companhia Paranaense de Energia (COPEL)","5.05","1381959643.75","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elp",
"CZZ","Cosan Limited","6.53","1597732399.36","n/a","n/a","Consumer Non-Durables","Specialty Foods","https://www.nasdaq.com/symbol/czz",
"CPL","CPFL Energia S.A.","11.2","5700322577.6","n/a","2004","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cpl",
"ERJ","Embraer S.A.","19.2","3520930809.6","n/a","2000","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/erj",
"EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","24.33","1077837661.11","n/a","2007","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/edn",
"FBR","Fibria Celulose S.A.","18.98","10497469996.78","n/a","1997","Basic Industries","Paper","https://www.nasdaq.com/symbol/fbr",
"GFA","Gafisa SA","5.39","118108746.91","n/a","2007","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/gfa",
"GGB","Gerdau S.A.","3.83","6518255732.01","n/a","n/a","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/ggb",
"GOL","Gol Linhas Aereas Inteligentes S.A.","4.91","7684728039.57","n/a","2004","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/gol",
"IRS","IRSA Inversiones Y Representaciones S.A.","14.91","862806601.86","n/a","n/a","Consumer Services","Homebuilding","https://www.nasdaq.com/symbol/irs",
"ITUB","Itau Unibanco Banco Holding SA","10.37","67151921757.35","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/itub",
"LOMA","Loma Negra Compania Industrial Argentina Sociedad Anonima","8","953600000","n/a","2017","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/loma",
"BMA","Macro Bank Inc.","44.32","2968110400","n/a","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bma",
"SID","National Steel Company","2.02","2741408660","n/a","n/a","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/sid",
"NETS","Netshoes (Cayman) Limited","2.24","69565986.56","n/a","2017","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/nets",
"OIBR.C","Oi S.A.","n/a","0","n/a","2014","n/a","n/a","https://www.nasdaq.com/symbol/oibr.c",
"PAM","Pampa Energia S.A.","30.55","2237618161.35","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/pam",
"PBR","Petroleo Brasileiro S.A.- Petrobras","10.63","69331501182.95","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pbr",
"TEO","Telecom Argentina Stet - France Telecom S.A.","17.52","7546522787.04","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/teo",
"VIV","Telefonica Brasil S.A.","10.03","16937598573.28","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/viv",
"TSU","TIM Participacoes S.A.","14.37","6958047333.15","n/a","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/tsu",
"TGS","Transportadora De Gas Sa Ord B","14.7","2335816123.2","n/a","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/tgs",
"UGP","Ultrapar Participacoes S.A.","9.43","5244259664.71","n/a","n/a","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/ugp",
"VALE","VALE S.A.","12.99","67514642732.19","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/vale",
"YPF","YPF Sociedad Anonima","15.29","6013752604.97","n/a","1993","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/ypf",
